Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,15.346354484558105,,,,,19.068683624267578,72.82838439941406,19.068683624267578,72.82838439941406,,,,,,,,900000,,,
00:15:00.000-04:00,00:30:00.000-04:00,15.346354484558105,,,,,19.068262100219727,72.82838439941406,19.068683624267578,72.82848358154297,,,,,,,,900000,,,
00:30:00.000-04:00,00:45:00.000-04:00,15.346354484558105,,,,,19.068069458007812,72.8285140991211,19.068283081054688,72.82853698730469,,,,,,,,900000,,,
00:45:00.000-04:00,01:00:00.000-04:00,15.346354484558105,,,,,19.068071365356445,72.82838439941406,19.06868553161621,72.82853698730469,,,,,,,,900000,,,
01:00:00.000-04:00,01:15:00.000-04:00,15.346354484558105,,,,,19.068071365356445,72.82853698730469,19.068071365356445,72.82853698730469,,,,,,,,900000,,,
01:15:00.000-04:00,01:30:00.000-04:00,24.044389724731445,28.622108459472656,,,,19.068071365356445,72.82842254638672,19.068614959716797,72.82853698730469,,,,153,,,,713633,133670,,16106
01:30:00.000-04:00,01:45:00.000-04:00,15.346353530883789,,,,,19.0687198638916,72.82839965820312,19.068950653076172,72.82846069335938,,,,44,,,,900000,,,
01:45:00.000-04:00,02:00:00.000-04:00,15.346353530883789,,,,,19.068262100219727,72.82843017578125,19.06856918334961,72.82852172851562,,,,55,,,,783636,,,
02:00:00.000-04:00,02:15:00.000-04:00,15.346353530883789,,,,,19.068069458007812,72.82841491699219,19.068729400634766,72.82853698730469,,,,111,,,,675694,,,
02:15:00.000-04:00,02:30:00.000-04:00,20.36687469482422,71.31116485595703,,,,,,,,,,,136,,,,665271,93543,,
02:30:00.000-04:00,02:45:00.000-04:00,26.863712310791016,115.24955749511719,,,,19.068069458007812,72.8283462524414,19.068777084350586,72.82853698730469,,,,396,,,,523724,214593,,
02:45:00.000-04:00,03:00:00.000-04:00,18.833072662353516,25.186687469482422,,,,19.065248489379883,72.8283920288086,19.068696975708008,72.82977294921875,5.073464393615723,6.190032482147217,2.190000057220459,397,,,,171246,64965,,
03:00:00.000-04:00,03:15:00.000-04:00,15.346353530883789,,,,,19.057723999023438,72.83509826660156,19.06435775756836,72.83702087402344,3.3853540420532227,5.760035037994385,0.6300793290138245,28,,,,,,,
03:15:00.000-04:00,03:30:00.000-04:00,15.346353530883789,,,,,19.05030632019043,72.83741760253906,19.05812644958496,72.85395050048828,5.691256046295166,12.320259094238281,0.7217340469360352,69,,,,,,,
03:30:00.000-04:00,03:45:00.000-04:00,21.089603424072266,22.12639617919922,,,,19.060396194458008,72.85737609863281,19.067142486572266,72.870361328125,5.2637104988098145,11.541732788085938,0.5445181727409363,108,,,,417897,107009,,
03:45:00.000-04:00,04:00:00.000-04:00,28.33633041381836,136.33831787109375,,,,19.066268920898438,72.86994171142578,19.06722068786621,72.87036895751953,,,,409,,,,338862,242031,,
04:00:00.000-04:00,04:15:00.000-04:00,16.104398727416992,7.604132652282715,,,,19.06683921813965,72.87043762207031,19.066879272460938,72.87079620361328,,,,111,,,,885876,14124,,
04:15:00.000-04:00,04:30:00.000-04:00,22.794239044189453,90.24967956542969,,,,19.06662940979004,72.86984252929688,19.066951751708984,72.87055206298828,,,,327,,,,761230,138770,,
04:30:00.000-04:00,04:45:00.000-04:00,18.34928321838379,52.28886032104492,,,,19.067049026489258,72.87015533447266,19.067119598388672,72.87033081054688,,,,221,,,,802982,55951,,
04:45:00.000-04:00,05:00:00.000-04:00,20.845884323120117,70.94941711425781,,,,19.05967903137207,72.84724426269531,19.067821502685547,72.87044525146484,6.450685501098633,17.010576248168945,0.5860034227371216,263,,,,,102468,,
05:00:00.000-04:00,05:15:00.000-04:00,15.346353530883789,,,,,19.060808181762695,72.84410858154297,19.07406234741211,72.84725189208984,5.519474506378174,21.29039764404297,0.5385164618492126,87,,,,,,,
05:15:00.000-04:00,05:30:00.000-04:00,46.27616882324219,670.3840942382812,,,,19.06283187866211,72.8406982421875,19.06679344177246,72.84573364257812,2.698059558868408,10.300485610961914,0.5437830686569214,1026,,,,39112,556038,,
05:30:00.000-04:00,05:45:00.000-04:00,28.9794921875,316.944580078125,,,,19.06588363647461,72.84573364257812,19.08020782470703,72.84703826904297,3.988884449005127,10.470000267028809,0.574282169342041,468,,,,,199619,,
05:45:00.000-04:00,06:00:00.000-04:00,15.346353530883789,,,,,19.03053092956543,72.83846282958984,19.060977935791016,72.8498306274414,7.908700942993164,14.880568504333496,0.5135172605514526,147,,,,,,,
06:00:00.000-04:00,06:15:00.000-04:00,20.336589813232422,123.99113464355469,,,,19.02864646911621,72.852783203125,19.03789710998535,72.85798645019531,3.3712048530578613,10.930224418640137,0.5503635406494141,94,,,,93152,86908,,
06:15:00.000-04:00,06:30:00.000-04:00,17.17835235595703,52.20866394042969,,,,19.027233123779297,72.85481262207031,19.027877807617188,72.85530853271484,0.7119573354721069,0.8089499473571777,0.6200000047683716,162,,,,324136,31436,,
06:30:00.000-04:00,06:45:00.000-04:00,15.346353530883789,,,,,19.027647018432617,72.85527038574219,19.027969360351562,72.85527038574219,,,,90,,,,900000,,,
